frame,X,Y,Z
415,-0.23996,-0.0472835,1.04306
416,-0.23987,-0.0472071,1.04276
417,-0.239762,-0.0471043,1.04236
418,-0.239668,-0.0470116,1.042
419,-0.239599,-0.0469422,1.04173
420,-0.238451,-0.0456668,1.03675
421,-0.239003,-0.0462822,1.03915
422,-0.240363,-0.0466613,1.04063
423,-0.241032,-0.0468628,1.04142
424,-0.241273,-0.0469481,1.04175
425,-0.241283,-0.0469668,1.04182
426,-0.241194,-0.0469535,1.04177
427,-0.241081,-0.0469295,1.04168
428,-0.240982,-0.0469059,1.04158
429,-0.240908,-0.0468873,1.04151
430,-0.240861,-0.0468747,1.04146
431,-0.240834,-0.0468671,1.04143
432,-0.238698,-0.0456333,1.03662
433,-0.237677,-0.0450431,1.03431
434,-0.239461,-0.0460757,1.03834
435,-0.240495,-0.0466732,1.04068
436,-0.240999,-0.0469644,1.04181
437,-0.241177,-0.0470666,1.04221
438,-0.24118,-0.0470681,1.04222
439,-0.241109,-0.0470268,1.04206
440,-0.241022,-0.0469759,1.04186
441,-0.240945,-0.0469314,1.04168
442,-0.240889,-0.0468988,1.04156
443,-0.240853,-0.0468779,1.04147
444,-0.238708,-0.0456362,1.03663
445,-0.237683,-0.0450421,1.03431
446,-0.239463,-0.0460732,1.03833
447,-0.240495,-0.0466706,1.04067
448,-0.240998,-0.0469623,1.0418
449,-0.241176,-0.0470652,1.04221
450,-0.24118,-0.0470672,1.04221
451,-0.241109,-0.0470263,1.04205
452,-0.241021,-0.0469757,1.04186
453,-0.240945,-0.0469314,1.04168
454,-0.242012,-0.0471174,1.04641
455,-0.24139,-0.0469825,1.0438
456,-0.241013,-0.0469013,1.04221
457,-0.240815,-0.0468593,1.04137
458,-0.240735,-0.0468426,1.04103
459,-0.24072,-0.0468399,1.04097
460,-0.240736,-0.0468437,1.04103
461,-0.240762,-0.0468494,1.04114
